group_id,module_type,x_position,y_position,width,height,x_end,y_end,is_rotated,module_count,rows,cols,area
1,D,0,0,33.3,7.2,33.3,7.2,False,32,2,4,239.76
2,D,33.0,7.2,33.3,7.2,66.3,14.4,False,32,2,4,239.76
3,D,46.7,14.5,33.3,7.2,80.0,21.7,False,32,2,4,239.76
4,D,14.0,21.7,33.3,7.2,47.3,28.9,False,32,2,4,239.76
5,D,0.0,28.9,33.3,7.2,33.3,36.1,False,32,2,4,239.76
6,D,33.3,28.9,33.3,7.2,66.6,36.1,False,32,2,4,239.76
7,D,47.3,21.7,17.4,3.6,64.7,25.3,False,7,1,3,62.64
8,C,34.8,0,4.5,5.0,39.3,5.0,False,2,2,1,22.5
9,C,48.8,0,4.5,5.0,53.3,5.0,False,2,2,1,22.5
10,C,66.2,0,4.5,5.0,70.7,5.0,False,2,2,1,22.5
11,C,67.8,5,4.5,5.0,72.3,10.0,False,2,2,1,22.5
12,C,40.8,0.0,4.5,5.0,45.3,5.0,False,2,2,1,22.5
13,C,54.8,0.0,4.5,5.0,59.3,5.0,False,2,2,1,22.5
14,C,72.2,0.0,4.5,5.0,76.7,5.0,False,2,2,1,22.5
15,C,73.8,5.0,4.5,5.0,78.3,10.0,False,2,2,1,22.5
16,C,0.0,8.7,4.5,5.0,4.5,13.7,False,2,2,1,22.5
17,C,6.0,8.7,4.5,5.0,10.5,13.7,False,2,2,1,22.5
18,C,12.0,8.7,4.5,5.0,16.5,13.7,False,2,2,1,22.5
19,C,18.0,8.7,4.5,5.0,22.5,13.7,False,2,2,1,22.5
20,C,24.0,8.7,4.5,5.0,28.5,13.7,False,2,2,1,22.5
21,C,0.0,13.7,4.5,5.0,4.5,18.7,False,2,2,1,22.5
22,C,6.0,13.7,4.5,5.0,10.5,18.7,False,2,2,1,22.5
23,C,12.0,13.7,4.5,5.0,16.5,18.7,False,2,2,1,22.5
24,C,18.0,13.7,4.5,5.0,22.5,18.7,False,2,2,1,22.5
