group_id,module_type,x_position,y_position,width,height,x_end,y_end,is_rotated,module_count,rows,cols,area
1,B,0.0,0.0,8.0,4.0,8.0,4.0,False,4,2,2,32.0
2,B,8.0,0.0,8.0,4.0,16.0,4.0,False,4,2,2,32.0
3,B,16.0,0.0,8.0,4.0,24.0,4.0,False,4,2,2,32.0
4,B,24.0,0.0,8.0,4.0,32.0,4.0,False,4,2,2,32.0
5,B,32.0,0.0,8.0,4.0,40.0,4.0,False,4,2,2,32.0
6,B,0.0,4.0,8.0,4.0,8.0,8.0,False,4,2,2,32.0
7,B,8.0,4.0,8.0,4.0,16.0,8.0,False,4,2,2,32.0
8,B,16.0,4.0,8.0,4.0,24.0,8.0,False,4,2,2,32.0
9,B,24.0,4.0,8.0,4.0,32.0,8.0,False,4,2,2,32.0
10,B,32.0,4.0,8.0,4.0,40.0,8.0,False,4,2,2,32.0
11,B,0.0,8.0,8.0,4.0,8.0,12.0,False,4,2,2,32.0
12,B,8.0,8.0,8.0,4.0,16.0,12.0,False,4,2,2,32.0
13,B,16.0,8.0,8.0,4.0,24.0,12.0,False,4,2,2,32.0
14,B,24.0,8.0,8.0,4.0,32.0,12.0,False,4,2,2,32.0
15,B,32.0,8.0,8.0,4.0,40.0,12.0,False,4,2,2,32.0
16,B,0.0,12.0,8.0,4.0,8.0,16.0,False,4,2,2,32.0
17,B,8.0,12.0,8.0,4.0,16.0,16.0,False,4,2,2,32.0
18,B,16.0,12.0,8.0,4.0,24.0,16.0,False,4,2,2,32.0
19,B,24.0,12.0,8.0,4.0,32.0,16.0,False,4,2,2,32.0
20,B,32.0,12.0,8.0,4.0,40.0,16.0,False,4,2,2,32.0
21,B,0.0,16.0,8.0,4.0,8.0,20.0,False,4,2,2,32.0
22,B,8.0,16.0,8.0,4.0,16.0,20.0,False,4,2,2,32.0
23,B,16.0,16.0,8.0,4.0,24.0,20.0,False,4,2,2,32.0
24,B,24.0,16.0,8.0,4.0,32.0,20.0,False,4,2,2,32.0
25,B,32.0,16.0,8.0,4.0,40.0,20.0,False,4,2,2,32.0
